auction_brand,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,year
,,Typ 24 bus 23 fenêtres + Eriba Puck,RM Sotheby's,,,,,
,,Type 24 Bus Beutler,Oldtimer Galerie Toffen,,,,,
,,"Type 24 Bus De Luxe ""23 fenêtres"" RHD, moteur 2.4",Coys Auctions,,,,,
,,,,,,,,
,,Typ 23 Camping-car ,Bonhams,,,,,
,,T 2 Camping-car Westfalia Bay-windiw,Historics at Brooklands,,,,,
,,Typ 21 Camping,Bonhams,,,,,
,,Typ 23 EZ Campers double ouverture G et D,Silverstone Auctions,,,,,
,,Typ 23 camping-car Riviera,H & H Classic Auctions,,,,,
,,Typ 2 Camper Westfalia,Bonhams,,,,,
,,"Typ 2 camping-car Westfalia, moteur 1.8",Bonhams,,,,,
,,Typ 2 camping car Westfalia,Historics at Brooklands,,,,,
,,Type 2 Camping Devon Caravanette RHD,Silverstone Auctions,,,,,
,,,,,,,,
,,Typ 23 Combi,RM Sotheby's,,,,,
,,Typ 23 Combi 11 fenêtres brésilien,Osenat,,,,,
,,"Typ 23 Combi de Luxe 1500, prod. Brésil",Claude Aguttes,,,,,
,,Type 24 Bus de luxe 21 fenêtres,RM Auctions,,,,,
,,Typ 2 camping car Westfalia,Historics at Brooklands,,,,,
,,Kombi 23 fenêtres option sièges séparés,RM Auctions,,,,,
,,Type 23 Kombi RHD ex-Indonésie,Bonhams,,,,,
,,"Combi “split” Brasil LHD, ex-Jenson Button",H & H Classic Auctions,,,,,
,,"Type 23 Camping 2 litres, toit relevable",Jean-Pierre Osenat,,,,,
,,Type 23 Kombi LHD,Bonhams,,,,,
,,,,,,,,
,,Typ 22 Bus (15 fenêtres) ,H and H,,,,,
,,Typ 2 minibus 8 places,Oldtimer Galerie Toffen,,,,,
,,,,,,,,
,,Typ 2 fourgon (aménagé camping),Historics at Brooklands,,,,,
,,Typ 2 fourgon,Bonhams,,,,,
,,Typ 2 pick-up,RM Sotheby,,,,,
,,,,,,,,
,,Typ 2 Devon Samba 23 vitres RHD,Bonhams,,,,,
,,,,,,,,
,,Typ 26 Pick-up custom,RM Sotheby's,,,,,
,,Typ 2 Pick-up double cabine,Gooding & Co,,,,,
,,Typ 2 Pick-up double cabine,Bonhams,,,,,
,,Type 26 Pick-up double-cabine,Gooding & Company,,,,,
,,Type 26 plateau large Westfalia,Five Auction Tours,,,,,
,,,,,,,,
,,Typ 24 Bus de Luxe (21 fenêtres),Bonhams,,,,,
,,Typ 24 Bus de Luxe 21 fenêtres,Bonhams,,,,,
,,Typ 24 Bus de Luxe (21 fenêtres),Artcurial,,,,,
,,Typ 24 Bus de Luxe,RM Sotheby's,,,,,
,,Typ 24 Bus de Luxe,Bonhams,,,,,
,,Typ 24 Bus de Luxe,RM Sotheby,,,,,
,,Typ 24 Bus de Luxe (21 fenêtres),Silverstone Auctions,,,,,
,,Typ 24 Bus de Luxe,Barrett-Jackson,,,,,
,,"Typ 24 Bus de Luxe 21 fenêtres, toit souple",Artcurial Motorcars,,,,,
,,"Type 24 Bus de Luxe LHD ex-USA, toit souple",Bonhams,,,,,
,,"Type 24 Bus de Luxe ""21 fenêtres"" toit ouvrant",Oldtimer Galerie Toffen,,,,,
,,,,,,,,
,,Transporter (T 3) Komet Autohomes 1.9 RHD,H & H Classic Auctions,,,,,
,,Transporter (T 3) 2 litres pick-up,Artcurial Motorcars,,,,,
,,,,,,,,
,,Typ 25 Camping,Historics at Brooklands,,,,,
,,Typ 2 Camping,H and H,,,,,
,,Typ 2 Camping Bay-window 1600 RHD,Historics at Brooklands,,,,,
,,Typ 2 Camper,RM Sotheby's,,,,,
,,Typ 2 Camping Westfalia,RM Sotheby's,,,,,
,,Transporter Bus,Oldtimer Galerie Toffen,,,,,
,,Typ 25 Camping Westfalia ex-USA,Alcopa Auction Rennes,,,,,
,,Typ 2 Camping RHD,H & H Classic Auctions,,,,,
,,Typ 2 camping Canterbury Pitt RHD,Bonhams,,,,,
,,Typ 24 Camping Devon RHD,Bonhams,,,,,
,,Typ 2 camping-car Westfalia,RM Auctions,,,,,
,,Typ 2 Camping Westfalia RHD,Historics at Brooklands,,,,,
,,"Type 2 Camping (Brazil) RHD, ex-Pete Townshend",Coys Auctions,,,,,
,,,,,,,,
,,Typ 2 Microbus,Bonhams,,,,,
,,Type 2 Bus L (Clipper),Coys,,,,,
,,,,,,,,
,,Typ 2 Combi,Aguttes,,,,,
,,Typ 2 pick-up 1600 RHD ex-Afrique du Sud,Silverstone Auctions,,,,,
,,Type 2 Combi ,RM Sotheby's,,,,,
,,Typ 2 Combi custom,Artcurial,,,,,
,,Type 2 Camping Westfalia S 042,Silverstone Auctions,,,,,
,,Type 22 Combi 8 places,Me Arnaud-Lacroze / M. Saint-Gal,,,,,
,,,,,,,,
,,Type 2 fourgon double porte latérale LHD,Coys Auctions,,,,,
,,,,,,,,
,,411 2 portes,Stanislas Machoïr,,,,,
,,,,,,,,
,,,,,,,Golf GTi 1600 (5 vitesses),1980
,,,,,,,Golf GTi 16 S Oettinger,1981
,,,,,,,Golf GTi 1800 / Rabbit GTi 3 portes,1983
,,,,,,,Golf GL / GLS Cabriolet (1.1 / 1.3 / 1.6),1979
,,,,,,,Golf GLi Cabriolet,1980
,,,,,,,Jetta GLi 1.6 4 portes,1978
,,,,,,,Jetta GLi 1.8 4 portes (112 ch),1983
,,,,,,,Golf II GTi 16 V 3 ou 5 portes (139 ch),1986
,,,,,,,Golf II GTi (EV),1984
,,,,,,,Golf II GTi 3 ou 5 portes (PB),1987
,,,,,,,Golf II 1.8 Syncro 4 x 4,1988
,,,,,,,Golf II Rallye 4 x 4 (160 ch),1989
,,,,,,,Golf II GTi G 60 3 ou 5 portes (160 ch),1990
,,,,,,,Golf II Country 5 portes 4 x 4 (98 ch),1990
,,,,,,,Golf III GTi 8V 3 ou 5 portes,1993
,,,,,,,Golf III GTi 16 V 3 portes,1993
,,,,,,,,
,,181 torpédo,RM Sotheby,,,,,
,,181 torpédo,Gooding & Co,,,,,
,,181 torpédo,Bonhams,,,,,
,,181 torpédo,RM Sotheby's,,,,,
,,181 torpédo,Oldtimer Galerie,,,,,
,,182 (Trekker) RHD,Historics at Brooklands,,,,,
,,181 torpédo,Worldwide Auctioneers,,,,,
,,181 (Thing) torpédo,Bonhams,,,,,
,,181 torpédo,RM Sotheby's,,,,,
,,181 torpédo,Jean-Pierre Osenat,,,,,
,,181 torpédo LHD,Bonhams,,,,,
,,,,,,,,
,,Golf GTi 1600 (4 vitesses) RHD,Silverstone Auctions,,,,,
,,Golf GTi 1600 3 portes,Historics at Brooklands,,,,,
,,Golf GTi 1600,Claude Aguttes,,,,,
,,Golf GTI 1600 RHD,Bonhams,,,,,
,,Golf I 1300,Oldtimer Galerie Toffen,,,,,
,,Golf GTi 1600,Silverstone Auctions,,,,,
,,,,,,,,
,,Golf I GLS 5 portes RHD,H and H,,,,,
,,Golf LD 5 portes (sans moteur ni CG),SVV Henri Adam / M. Bonoron,,,,,
,,"Golf LD 5 portes, jantes alu (sans CG)",SVV Henri Adam / M. Bonoron,,,,,
,,Golf GLD 5 portes (sans CG),SVV Henri Adam / M. Bonoron,,,,,
,,"Golf LD 5 portes, sans mécanique",SVV Henri Adam / M. Bonoron,,,,,
,,,,,,,,
