auction_brand,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
VOLKSWAGEN,Londres,"Karmann-Ghia 1600 cabriolet (type14), conv. RHD",Bonhams,5 520 €,REST/TR,V,,6951,
VOLKSWAGEN,Whitney,Karmann-Ghia 1600 cabriolet T 14 LHD,Coys Auctions,3 750 €,OR,V,,6951,
,,,,,,,,6950,
VOLKSWAGEN,La Mézière,"Karmann-Ghia 1600 cabriolet autom., jantes sport",Alcopa Auction Rennes,18 020 €,REST,V,,6950,
VOLKSWAGEN,Lyon,Karmann-Ghia 1500 cabriolet ex-USA,Claude Aguttes,17 400 €,RAR,V,,6950,
VOLKSWAGEN,Lyon,Karmann-Ghia 1500 (T 14) cabriolet ex-USA,Claude Aguttes,18 000 €,RAR,V,,6950,
,,,,,,,,6959,
VOLKSWAGEN,Fayence,1600 TLE coupé RHD,Jean-Pierre Osenat,1 875 €,EP,V,,6959,
,,,,,,,,6957,
VOLKSWAGEN,Versailles,"1600 TL coupé ""fastback""",Chevau-Légers Enchères,6 500 €,REST+,V,,6957,
,,,,,,,,11042,
VOLKSWAGEN,Auburn,Typ 26 Pick-up custom,RM Sotheby's,15 740 €,REST/TR,V,,11042,
VOLKSWAGEN,Pebble Beach,Typ 2 Pick-up double cabine,Gooding & Co,83 240 €,REST,V,,11042,
VOLKSWAGEN,Paris,Typ 2 Pick-up double cabine,Bonhams,58 650 €,REST+,V,,11042,
VOLKSWAGEN,AmeliA IslAnd,Type 26 Pick-up double-cabine,Gooding & Company,46 080 €,REST+,V,,11042,
VOLKSWAGEN,Montbazon,Type 26 plateau large Westfalia,Five Auction Tours,2 000 €,OR,V,,11042,
,,,,,,,,8569,
VOLKSWAGEN,Chantilly,Typ 24 Bus de Luxe (21 fenêtres),Bonhams,103 500 €,REST,V,,8569,
VOLKSWAGEN,Paris,Typ 24 Bus de Luxe 21 fenêtres,Bonhams,50 600 €,REST+,V,,8569,
VOLKSWAGEN,Paris,Typ 24 Bus de Luxe (21 fenêtres),Artcurial,143 040 €,OR+,V,,8569,
VOLKSWAGEN,Monterey,Typ 24 Bus de Luxe,RM Sotheby's,154 060 €,REST,V,,8569,
VOLKSWAGEN,Quail Lodge,Typ 24 Bus de Luxe,Bonhams,86 660 €,REST,V,,8569,
VOLKSWAGEN,Amelia Island,Typ 24 Bus de Luxe,RM Sotheby,102 530 €,REST,V,,8569,
VOLKSWAGEN,Silverstone,Typ 24 Bus de Luxe (21 fenêtres),Silverstone Auctions,72 260 €,REST,V,,8569,
VOLKSWAGEN,Scottsdale,Typ 24 Bus de Luxe,Barrett-Jackson,134 460 €,REST,V,,8569,
VOLKSWAGEN,Paris,"Typ 24 Bus de Luxe 21 fenêtres, toit souple",Artcurial Motorcars,97 740 €,REST+,V,,8569,
VOLKSWAGEN,Goodwood,"Type 24 Bus de Luxe LHD ex-USA, toit souple",Bonhams,95 100 €,REST+,V,,8569,
VOLKSWAGEN,Toffen,"Type 24 Bus de Luxe ""21 fenêtres"" toit ouvrant",Oldtimer Galerie Toffen,29 900 €,OR+,V,,8569,
,,,,,,,,8568,
VOLKSWAGEN,Greenwich,Typ 24 Bus De Luxe (23 fenêtres),Bonhams,47 130 €,REST,V,,8568,
VOLKSWAGEN,Scottsdale,Typ 24 Bus De Luxe (23 fenêtres),Bonhams,166 980 €,REST+,V,,8568,
VOLKSWAGEN,Monterey,Typ 24 Bus De Luxe,RM Sotheby's,86 660 €,REST,V,,8568,
VOLKSWAGEN,Fort Lauderdale,Typ 24 Bus De Luxe,RM Sotheby's,138 770 €,REST,V,,8568,
VOLKSWAGEN,Scottsdale,Typ 24 Bus De Luxe,Gooding & Co,179 960 €,REST,V,,8568,
VOLKSWAGEN,New York,Typ 24 Bus De Luxe (23 fenêtres),RM Sotheby,175 500 €,REST,V,,8568,
VOLKSWAGEN,Amelia Island,Typ 24 bus 23 fenêtres + Eriba Puck,RM Sotheby's,143 550 €,REST,V,,8568,
VOLKSWAGEN,Kaufdorf,Type 24 Bus Beutler,Oldtimer Galerie Toffen,3 630 €,EP,V,,8568,
VOLKSWAGEN,Brands Hatch,"Type 24 Bus De Luxe ""23 fenêtres"" RHD, moteur 2.4",Coys Auctions,62 250 €,REST/TR,V,,8568,
,,,,,,,,11045,
