quote_id,auction_brand,auction_model,auction_organizor,action_sales_code,auction_restauration_code,action_price,action_location
6942,VOLKSWAGEN,"Coccinelle 1500 cabriolet ex-USA, jantes larges",Alcopa Auction,V,REST-,8 037 €,La Mézière
6942,VOLKSWAGEN,Coccinelle cabriolet Karmann,Pierre Bergé & Associés,V,REST,12 500 €,Bruxelles
6942,VOLKSWAGEN,Coccinelle 1600 cabriolet Karmann,SVV Australe,V,REST-,6 800 €,Sainte-Geneviève
6941,,,,,,,
6941,VOLKSWAGEN,Coccinelle 1200 cabriolet Karmann,Bonhams,V,OR,27 600 €,Knokke-le-Zoute
6941,VOLKSWAGEN,Coccinelle (1200) cabriolet,RM Auctions,V,OR+,18 010 €,Nysted
6941,VOLKSWAGEN,Coccinelle 1200 cabriolet,"SCP Dubée, Berron, Sentucq",V,REST/TR,9 000 €,Romorantin
6940,,,,,,,
6940,VOLKSWAGEN,Coccinelle cabriolet Karmann,RM Sotheby's,V,OR,44 800 €,Milan
6940,VOLKSWAGEN,Coccinelle 1303 cabriolet Karmann,Oldtimer Galerie Toffen,V,REST,18 748 €,Toffen
6940,VOLKSWAGEN,Coccinelle cabriolet Karmann,Gooding & Company,V,REST+,23 400 €,AmeliA IslAnd
6940,VOLKSWAGEN,Coccinelle cabriolet export USA,Christie's,V,REST+,36 000 €,Monterey
6940,VOLKSWAGEN,Coccinelle cabriolet Karmann (LHD),Coys,V,REST+,14 250 €,Woodstock
2&idCote,,,,,,,
2&idCote,VOLKSWAGEN,Coccinelle cabriolet Karmann,RM Sotheby's,V,OR,44 800 €,Milan
2&idCote,VOLKSWAGEN,Coccinelle 1303 cabriolet Karmann,Oldtimer Galerie Toffen,V,REST,18 748 €,Toffen
2&idCote,VOLKSWAGEN,Coccinelle cabriolet Karmann,Gooding & Company,V,REST+,23 400 €,AmeliA IslAnd
2&idCote,VOLKSWAGEN,Coccinelle cabriolet export USA,Christie's,V,REST+,36 000 €,Monterey
2&idCote,VOLKSWAGEN,Coccinelle cabriolet Karmann (LHD),Coys,V,REST+,14 250 €,Woodstock
2&idCote,,,,,,,
2&idCote,VOLKSWAGEN,Coccinelle cabriolet Karmann,RM Sotheby's,V,OR,44 800 €,Milan
2&idCote,VOLKSWAGEN,Coccinelle 1303 cabriolet Karmann,Oldtimer Galerie Toffen,V,REST,18 748 €,Toffen
2&idCote,VOLKSWAGEN,Coccinelle cabriolet Karmann,Gooding & Company,V,REST+,23 400 €,AmeliA IslAnd
2&idCote,VOLKSWAGEN,Coccinelle cabriolet export USA,Christie's,V,REST+,36 000 €,Monterey
2&idCote,VOLKSWAGEN,Coccinelle cabriolet Karmann (LHD),Coys,V,REST+,14 250 €,Woodstock
6939,,,,,,,
6939,VOLKSWAGEN,Coccinelle cabriolet Karmann,RM Sotheby's,V,REST,28 780 €,Auburn
6939,VOLKSWAGEN,Coccinelle cabriolet Karmann,Marie Line Balsan / Dominique Pagneux,V,REST,20 770 €,Le Mans
6939,VOLKSWAGEN,Coccinelle 1200 cabriolet Karmann,Marie Line Balsan / Dominique Pagneux,V,OR-,6 960 €,Le Mans
6939,VOLKSWAGEN,1500 cabriolet Karmann,RM Sotheby's,V,REST,8 440 €,Fort Lauderdale
6939,VOLKSWAGEN,Typ 15 cabriolet Karmann,RM Sotheby,V,REST,59 240 €,Amelia Island
6939,VOLKSWAGEN,Coccinelle cabriolet 1600 automatique Karmann,Bonhams,V,OR+,9 360 €,Philadelphie
6939,VOLKSWAGEN,Coccinelle cabriolet Karmann,Bonhams,V,REST,32 850 €,Scottsdale
6939,VOLKSWAGEN,Coccinelle cabriolet Karmann LHD,Bonhams,V,SEP,1 430 €,Beaulieu
6939,VOLKSWAGEN,Coccinelle cabriolet Karmann automatique,Artcurial Motorcars,V,REST,22 260 €,Monaco
6939,VOLKSWAGEN,"Coccinelle 1303 LS Cabriolet ""Champion""",Artcurial Motorcars,V,REST/TR,16 850 €,Monaco
8272,,,,,,,
8272,VOLKSWAGEN,1303 S Super Beetle,Bonhams,V,OR+,8 490 €,Tupelo
8272,VOLKSWAGEN,"Coccinelle 1303 S coach, immatr. belge",Jean-Pierre Osenat,V,REST,3 000 €,Fontainebleau
6938,,,,,,,
6938,VOLKSWAGEN,1303 coach,Claude Aguttes,V,OR+,16 820 €,Paris
6938,VOLKSWAGEN,Coccinelle 1303 coach,Alcopa,V,OR,4 980 €,Esvres-sur-Indre
6938,VOLKSWAGEN,Coccinelle 1303 coach,SVV Daguerre,V,OR,3 750 €,Sainte-Solange
6938,VOLKSWAGEN,Coccinelle 1303 coach,Toutain-Vente / M. Vaudouër,V,OR+,5 175 €,Saint-James
6938,VOLKSWAGEN,Coccinelle 1303 coach,Toutain-Vente / M. Vaudouër,V,REST+,4 485 €,Saint-James
6938,VOLKSWAGEN,Coccinelle 1303 coach,Jean-Pierre Osenat,V,OR-,1 500 €,Fontainebleau
6938,VOLKSWAGEN,Coccinelle 1303 coach standard,Me Arnaud-Lacroze,V,OR-,1 900 €,Uzerche
6938,VOLKSWAGEN,Coccinelle 1303 coach,SCP Cambron-Pesin-Dupont-Lagrifo,V,OR-,750 €,Saint-LoubèS
6938,VOLKSWAGEN,Coccinelle 1303 coach RHD,BCA Classic & Historic,V,OR,750 €,Kempston Hardwick
2&idCote,,,,,,,
2&idCote,VOLKSWAGEN,1303 coach,Claude Aguttes,V,OR+,16 820 €,Paris
2&idCote,VOLKSWAGEN,Coccinelle 1303 coach,Alcopa,V,OR,4 980 €,Esvres-sur-Indre
2&idCote,VOLKSWAGEN,Coccinelle 1303 coach,SVV Daguerre,V,OR,3 750 €,Sainte-Solange
2&idCote,VOLKSWAGEN,Coccinelle 1303 coach,Toutain-Vente / M. Vaudouër,V,OR+,5 175 €,Saint-James
2&idCote,VOLKSWAGEN,Coccinelle 1303 coach,Toutain-Vente / M. Vaudouër,V,REST+,4 485 €,Saint-James
