auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,auction_url,model,quote_id,year
MG,28/11/2018,Buxton,MGB cabriolet RHD,H and H,11 420 €,REST,V,,,7824,
MG,17/11/2018,Turin,MGB cabriolet,Aste Bolaffi,21 850 €,REST+,V,,,7824,
MG,11/11/2018,Lyon,"MGB cabriolet, mod. pare-chocs chromés",Osenat,13 200 €,REST,V,,,7824,
MG,22/09/2018,Brooklands,MGB cabriolet RHD,Historics at Brooklands,5 110 €,REST,V,,,7824,
MG,02/09/2018,Auburn,"MGB cabriolet, conversion V8",RM Sotheby's,11 840 €,REST/TR,V,,,7824,
MG,24/08/2018,Quail Lodge,MGB cabriolet,Bonhams,20 220 €,OR+,V,,,7824,
MG,24/08/2018,Quail Lodge,"MGB cabriolet, 6 700 miles origine",Bonhams,28 890 €,OR+,V,,,7824,
MG,13/07/2018,La Teste de Buch,"MGB cabriolet LHD, roues fil",Osenat,10 200 €,REST-,V,,,7824,
MG,07/07/2018,Le Mans,MGB cabriolet,Artcurial,14 300 €,OR,V,,,7824,
,,,,,,,,,,4415,
MG,20/03/2019,Duxford,MGB 1800 roadster (moteur 3 paliers) RHD,H and H,15 590 €,REST,V,,,4415,
MG,30/06/2018,Wattripont,"MGB roadster hard-top LHD, roues disque",Collin du Bocage,1 800 €,SEP,V,,,4415,
MG,25/11/2017,Brooklands,MGB 1800 roadster (moteur 3 paliers),Historics at Brooklands,12 370 €,REST,V,,,4415,
MG,20/05/2017,Le Vigeant,"MGB 1800 roadster LHD, roues fil",HdV Poitiers (Me Tailliez) / M. Souchaud,17 940 €,REST,V,,,4415,
MG,30/10/2016,Paris,"MGB 1800 roadster hard-top, préparé",Artcurial Motorcars,19 072 €,REST,V,,,4415,
MG,24/06/2016,Goodwood,EX 234 cabriolet hard-top proto Pininfarina,Bonhams,76 350 €,EX,V,,,4415,
MG,20/03/2016,Goodwood,MGB roadster RHD,Bonhams,29 191 €,REST+,V,,,4415,
MG,25/04/2015,Toffen,MGB 1800 roadster + hardtop,Oldtimer Galerie Toffen,4 136 €,OR-,V,,,4415,
MG,10/10/2014,Knokke le Zoute,MGB 1800 cabriolet LHD (pare-chocs démontés),Bonhams,12 420 €,REST/TR,V,,,4415,
MG,18/05/2014,Spa,MGB 1800 cabriolet LHD,Bonhams,9 200 €,REST,V,,,4415,
MG,18/05/2014,Spa,MGB 1800 cabriolet LHD,Bonhams,6 900 €,REST-,V,,,4415,
MG,08/03/2014,Brooklands,MGB 1800 cabriolet RHD,Historics at Brooklands,15 422 €,REST,V,,,4415,
MG,30/11/2013,Toffen,MGB 1800 cabriolet,Oldtimer Galerie Toffen,18 580 €,OR+,V,,,4415,
MG,16/02/2013,Bordeaux,MGB cabriolet LHD,Jean dit Cazaux,14 160 €,REST,V,,,4415,
MG,08/02/2013,Paris,MGB 1800 cabriolet hard-top préparé course,Artcurial Motorcars,52 420 €,REST/TR,V,,,4415,
MG,01/12/2012,Bordeaux,MGB 1800 roadster LHD,Jean dit Cazaux,14 160 €,REST,V,,,4415,
,,,,,,,,,,4414,
MG,09/11/2014,Lyon (Epoqu'auto),"MGA 1600 Mark II coupé LHD, roues disque",Jean-Pierre Osenat,26 220 €,REST,V,,,4414,
MG,11/03/2011,AmeliA IslAnd,MGA 1600 Mark II coupé LHD,Gooding & Company,18 000 €,REST,V,,,4414,
MG,18/04/2007,Buxton,"MGA Mark II coupé RHD roues fil, moteur 1800",H & H Classic Auctions,12 150 €,REST/TR,V,,,4414,
MG,12/11/2006,Paris,"MGA 1600 Mark II coupé RHD, préparé VHC","Artcurial Briest, Le Fur, Poulai",11 000 €,REST/TR,V,,,4414,
MG,12/06/2006,Paris,"MGA Mark II coupé RHD, prép. 1800 rallye","Artcurial Briest, Le Fur, Poulai",15 000 €,REST/TR,V,,,4414,
,,,,,,,,,,7823,
MG,19/03/2017,Fontainebleau,MGA 1600 Mark II Deluxe roadster LHD,Jean-Pierre Osenat,40 800 €,REST,V,,,7823,
MG,13/10/2013,Fontainebleau,MGA 1600 Mark II De Luxe roadster,Jean-Pierre Osenat,33 954 €,REST+,V,,,7823,
,,,,,,,,,,4413,
MG,29/05/2019,Auburn,MGA 1600 Mark II roadster,RM Sotheby's,21 020 €,REST,V,,,4413,
MG,30/03/2019,Toffen,MGA 1600 Mark II roadster + hard-top Ghia Aigle,Oldtimer Galerie,26 570 €,REST,V,,,4413,
MG,11/10/2018,Hershey,MGA 1600 Mark II roadster,RM Sotheby's,40 810 €,REST,V,,,4413,
MG,24/08/2018,Quail Lodge,MGA 1600 Mark II roadster,Bonhams,36 590 €,OR+,V,,,4413,
MG,23/02/2018,Coventry,MGA 1600 Mark II roadster,Silverstone Auction,40 910 €,REST,V,,,4413,
MG,06/02/2017,La Mézière,"MGA 1600 Mark II roadster LHD, freins disque",Alcopa Auction Rennes,21 730 €,REST,V,,,4413,
MG,02/07/2016,Lyon,"MGA 1600 Mark II roadster LHD, roues fil",Claude Aguttes,33 600 €,REST,V,,,4413,
MG,11/03/2016,Amelia Island,MGA 1600 Mark II roadster,Gooding & Co.,31 680 €,REST,V,,,4413,
MG,21/04/2013,Le Neubourg,"MGA 1600 Mark II roadster , roues disque",Me Juarez,14 300 €,OR-,V,,,4413,
MG,14/06/2010,Sainte-Geneviève,"MGA 1600 Mark II roadster ex-USA, roues fil",Australe,11 000 €,OR,V,,,4413,
MG,14/06/2010,Sainte-Geneviève,"MGA 1600 Mark II roadster USA, roues disque",Australe,11 500 €,REST-,V,,,4413,
MG,01/12/2008,Londres,MGA 1600 Mark II roadster conversion RHD,Bonhams,11 000 €,RAR/TR,V,,,4413,
MG,06/07/2008,Fontainebleau,"MGA 1600 Mark II roadster LHD, roues fil",Fontainebleau,23 000 €,REST+,V,,,4413,
MG,27/10/2007,Padoue,"MGA 1600 Mark II roadster LHD, roues fil",Coys (Europe),28 000 €,REST+,V,,,4413,
MG,28/04/2007,Toffen,"MGA 1600 Mark II Deluxe roadster LHD, roues fil",Oldtimer Galerie Toffen,23 730 €,OR+,V,,,4413,
MG,22/11/2006,Buxton,"MGA 1600 Mark II roadster RHD, roues disque",H & H Classic Auctions,15 750 €,REST,V,,,4413,
,,,,,,,,,,4412,
MG,15/05/2019,Leominster,"MGA 1600 coupé RHD (moteur MGB, carbu Weber)",Brightwells,15 380 €,REST,V,,,4412,
