auction_url,quote_id,quote_max_price,quote_model,quote_year
cote.encheres.php?idCote=11820,11820,4 000 €,300 SE (W 126) berline,1985
cote.encheres.php?idCote=11821,11821,4 500 €,300 SEL (W 126) berline longue,1985
,,"(None,)","(None,)","(None,)"
,,4 000 €,380 SE (W 126) berline,1981
cote.encheres.php?idCote=11823,11823,4 200 €,420 SE (W 126) berline,1986
cote.encheres.php?idCote=11702,11702,4 800 €,500 SE (W 126) berline,1981
cote.encheres.php?idCote=11824,11824,6 000 €,500 SEL (W 126) berline longue,1981
cote.encheres.php?idCote=11180,11180,8 400 €,560 SEL (W 126) berline longue,1985
cote.encheres.php?idCote=9282,9282,8 000 €,380 SEC (W 126) coupé,1981
cote.encheres.php?idCote=9283,9283,9 000 €,420 SEC (W 126) coupé,1986
cote.encheres.php?idCote=9284,9284,12 000 €,500 SEC (W 126) coupé,1981
cote.encheres.php?idCote=9285,9285,15 000 €,500 SEC (W 126) coupé (restylé),1986
cote.encheres.php?idCote=9286,9286,28 000 €,560 SEC (W 126) coupé,1985
cote.encheres.php?idCote=12207,12207,4 500 €,300 SE / S 320 (W 140) berline,1991
cote.encheres.php?idCote=12208,12208,15 000 €,600 SEL / S 600 (W 140) berline V12,1991
cote.encheres.php?idCote=9287,9287,16 000 €,190 E 2.3-16 berline,1985
cote.encheres.php?idCote=9288,9288,22 000 €,190 E 2.5-16 berline,1989
cote.encheres.php?idCote=9289,9289,42 000 €,190 E 2.5-16 Evolution (195 ch),1989
cote.encheres.php?idCote=9290,9290,170 000 €,190 E 2.5-16 Evolution II (235 ch),1990
,,"(None,)","(None,)","(None,)"
,,10 000 €,190 E 2.6 berline,1986
cote.encheres.php?idCote=12200,12200,8 000 €,C 36 AMG berline,1995
cote.encheres.php?idCote=12201,12201,12 000 €,C 43 AMG berline,1997
cote.encheres.php?idCote=12202,12202,6 000 €,CLK 200 (W 208) coupé,1997
cote.encheres.php?idCote=12203,12203,14 000 €,CLK 55 AMG (W 208) coupé,1999
cote.encheres.php?idCote=12206,12206,10 000 €,E 55 AMG (W 210) berline,1997
cote.encheres.php?idCote=12209,12209,7 000 €,SLK 200 Kompressor roadster,1996
cote.encheres.php?idCote=12210,12210,20 000 €,SLK 32 AMG roadster,2000
cote.encheres.php?idCote=12211,12211,12 000 €,300 GE break 5 portes,1989
cote.encheres.php?idCote=4206,4206,95 000 €,600 limousine ,1964
cote.encheres.php?idCote=4207,4207,110 000 €,600 Pullman limousine 4 portes,1964
cote.encheres.php?idCote=4208,4208,130 000 €,600 Pullman limousine 6 portes,1966
