auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
TRIUMPH,26/10/2011,London,TR 5 Pi (CP) cabriolet injection,RM Auction,33 060 €,REST,V,,6745,
TRIUMPH,16/10/2011,Fontainebleau,TR 5 Pi (CP) cabriolet injection,J.-P. Osenat,21 000 €,REST,V,,6745,
TRIUMPH,25/04/2006,Sandown Park,TR 6 Pi (CP) cabriolet RHD,Barons,12 310 €,OR+,V,,6745,
,,,,,,,,,6744,
TRIUMPH,18/05/2019,Brooklands,TR 4 A IRS (CTC) cabriolet RHD,Historics at Brooklands,25 760 €,REST,V,,6744,
TRIUMPH,26/05/2019,Les Essarts,"TR 4 A IRS cabriolet, roues fil",HdV de la Seine (Me Chéroyan) / M. Séné,24 300 €,RAR,V,,6744,
TRIUMPH,20/03/2019,Duxford,TR 4 A IRS (CTC) cabriolet RHD,H and H,19 490 €,REST,V,,6744,
TRIUMPH,07/07/2018,Le Mans,TR 4 A IRS (CTC) cabriolet,Artcurial,53 640 €,REST+,V,,6744,
TRIUMPH,29/06/2017,Saint-Priest,"TR 4 A IRS cabriolet LHD, roues fil",Alcopa Auction Lyon,23 870 €,REST,V,,6744,
TRIUMPH,31/05/2017,Ascot,TR 4 A IRS (CTC) cabriolet Surrey-top,Historics at Brooklands,37 750 €,REST,V,,6744,
TRIUMPH,29/03/2017,Duxford,TR 4 A IRS (CTC) cabriolet RHD,H & H Classic Auctions,25 790 €,REST,V,,6744,
TRIUMPH,26/11/2016,Toffen,TR 4 A IRS cabriolet,Oldtimer Galerie Toffen,27 121 €,OR+,V,,6744,
TRIUMPH,23/04/2016,Toffen,"TR 4 A IRS cabriolet, roues fil",Oldtimer Galerie Toffen,30 576 €,OR+,V,,6744,
TRIUMPH,12/03/2016,Brooklands,TR 4 A IRS cabriolet ,Historics at Brooklands,39 320 €,REST,V,,6744,
TRIUMPH,02/05/2015,Beauzelle,TR 4 A IRS cabriolet,Arnauné & Prim,21 920 €,OR,V,,6744,
TRIUMPH,17/03/2013,Fontainebleau,"TR 4 A IRS cabriolet LHD, roues fil",Jean-Pierre Osenat,29 874 €,REST+,V,,6744,
TRIUMPH,01/02/2013,Saint-Etienne,"TR 4 A IRS cabriolet LHD, roues fil",SCP Carlier-Imbert,8 233 €,OR,V,,6744,
TRIUMPH,08/10/2012,Bruxelles,TR 4 A IRS cabriolet LHD,Pierre Bergé & Associés,24 000 €,REST,V,,6744,
TRIUMPH,01/09/2012,Brooklands,TR 4 A IRS cabriolet RHD,Historics,17 311 €,REST,V,,6744,
TRIUMPH,02/07/2011,Caen,TR 4 A IRS (CTC) cabriolet,SVV Caen Enchères/D. Pagneux,26 000 €,REST,V,,6744,
,,,,,,,,,6743,
TRIUMPH,11/10/2018,Hershey,TR 4 A (CT) cabriolet Surrey-Top,RM Sotheby's,27 520 €,REST,V,,6743,
TRIUMPH,07/07/2018,Brooklands,TR 4 A (CT) cabriolet USA conv. RHD,Historics at Brooklands,26 570 €,REST,V,,6743,
TRIUMPH,19/01/2018,Scottsdale,TR 4 A (CT) cabriolet USA,Gooding & Co,30 590 €,REST,V,,6743,
TRIUMPH,07/06/2017,Fléville devant Nancy,"TR 4 A (CT) cabriolet USA, jantes alu",Alcopa Auction Nancy,28 910 €,REST,V,,6743,
TRIUMPH,28/11/2015,Brooklands,TR 4 A cabriolet RHD,Historics at Brooklands,28 627 €,REST,V,,6743,
TRIUMPH,15/01/2015,Scottsdale,TR 4 cabriolet,Bonhams,18 990 €,REST,V,,6743,
TRIUMPH,15/01/2015,Scottsdale,TR 4 A cabriolet,Bonhams,21 610 €,OR+,V,,6743,
TRIUMPH,06/09/2014,Beaulieu,TR 4 A cabriolet RHD,Bonhams,23 650 €,REST,V,,6743,
TRIUMPH,11/10/2010,Sainte-Geneviève,"TR 4 A (CT) cabriolet ex-USA, roues fil",SVV Australe,16 000 €,REST,V,,6743,
TRIUMPH,11/10/2010,Sainte-Geneviève,"TR 4 A (CT) cabriolet hard-top ex-USA, roues fil",SVV Australe,15 000 €,REST-,V,,6743,
TRIUMPH,14/06/2010,Sainte-Geneviève,"TR 4 A (CT) cabriolet ""USA""",Australe,10 500 €,REST-,V,,6743,
TRIUMPH,13/04/2008,Marseille,"TR 4 A (CT) cabriolet ex-USA, imm. belge",Motion / Damien Leclère,15 000 €,REST,V,,6743,
TRIUMPH,10/12/2007,Paris,TR 4 A (CT) cabriolet ex-USA,"Artcurial Briest, Le Fur, Poulai",22 000 €,REST+,V,,6743,
TRIUMPH,13/01/2007,Maastricht,"TR 4 A (CT) cabriolet ex-USA, roues fil",Coys Europe,15 000 €,REST,V,,6743,
,,,,,,,,,6742&index=2,
TRIUMPH,11/10/2018,Hershey,TR 4 A (CT) cabriolet Surrey-Top,RM Sotheby's,27 520 €,REST,V,,6742&index=2,
TRIUMPH,07/07/2018,Brooklands,TR 4 A (CT) cabriolet USA conv. RHD,Historics at Brooklands,26 570 €,REST,V,,6742&index=2,
TRIUMPH,19/01/2018,Scottsdale,TR 4 A (CT) cabriolet USA,Gooding & Co,30 590 €,REST,V,,6742&index=2,
TRIUMPH,07/06/2017,Fléville devant Nancy,"TR 4 A (CT) cabriolet USA, jantes alu",Alcopa Auction Nancy,28 910 €,REST,V,,6742&index=2,
TRIUMPH,28/11/2015,Brooklands,TR 4 A cabriolet RHD,Historics at Brooklands,28 627 €,REST,V,,6742&index=2,
