auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
PORSCHE,15/06/2019,Fontainebleau,356 B S 75 coupé T 6 Karmann,Jean-Pierre Osenat,60 000 €,REST,V,,5683&index=2,
PORSCHE,21/04/2018,Toffen,356 B S 75 coupé T 6,Oldtimer Galerie Toffen,78 620 €,REST,V,,5683&index=2,
PORSCHE,24/05/2015,Deauville,"356 B S 75 coupé T 6 ex-USA, moteur 912",Claude Aguttes,40 800 €,REC/TR,V,,5683&index=2,
PORSCHE,06/02/2014,Paris,356 B S 75 coupé T 6,Bonhams,73 600 €,REST+,V,,5683&index=2,
PORSCHE,01/12/2012,Toffen,356 B S 75 Coupé T 6,Oldtimer Galerie,41 807 €,REST,V,,5683&index=2,
PORSCHE,31/01/2011,Sainte-Geneviève,356 B S 75 coupé T 6 ex-USA,Australe,8 500 €,SEP,V,,5683&index=2,
PORSCHE,06/12/2010,Weybridge,356 B S 75 coupé T 6 LHD,Bonhams,27 600 €,REST,V,,5683&index=2,
PORSCHE,13/04/2008,Paris,356 B S 75 coupé T 6 (118067),"Artcurial Briest, Poulain, F. Ta",25 000 €,OR+,V,,5683&index=2,
PORSCHE,21/05/2007,Monaco (Coys),356 B S 75 coupé T 6 ex-Suisse,Coys Europe,24 000 €,OR+,V,,5683&index=2,
PORSCHE,04/06/2006,Greenwich,356 B S 75 coupé T 6,Christie's,20 800 €,OR+,V,,5683&index=2,
PORSCHE,18/06/2006,Fontainebleau,356 B S 75 coupé T 6 Karmann (211161),Jean-Pierre Osenat,33 000 €,REST,V,,5683&index=2,
PORSCHE,29/04/2006,Toffen,356 B S 75 coupé T 6 LHD,Oldtimer Galerie Toffen,20 150 €,REST-,V,,5683&index=2,
,,,,,,,,,5689,
PORSCHE,19/01/2018,Scottsdale,356 B S 75 coupé T 5,Gooding & Co,50 390 €,OR,V,,5689,
PORSCHE,18/01/2018,Scottsdale,356 B S 75 coupé T 5,Bonhams,47 630 €,REST,V,,5689,
PORSCHE,18/01/2018,Scottsdale,356 B S 75 coupé T 5 Reutter,Bonhams,76 390 €,REST,V,,5689,
PORSCHE,23/04/2016,Toffen,356 B S 75 coupé T 5 toit ouvrant,Oldtimer Galerie Toffen,56 056 €,OR,V,,5689,
PORSCHE,21/03/2015,Goodwood,356 B S coupé 1600,Bonhams,123 590 €,REST,V,,5689,
PORSCHE,15/01/2015,Scottsdale,356 B 1600 S 75 Hardtop-Coupé ,Bonhams,80 800 €,REST,V,,5689,
PORSCHE,16/03/2014,Auvers-sur-Oise,356 B 1600 coupé,Le Calvez & Associés,51 620 €,REST,V,,5689,
PORSCHE,20/10/2013,Paris,356 B Super 75 Coupé T 5 ex-Italie,Artcurial Motorcars,54 149 €,REST,V,,5689,
PORSCHE,12/07/2013,Goodwood,356 B 60 coupé T5 préparé rallyes,Bonhams,35 720 €,REST,V,,5689,
PORSCHE,06/07/2013,Mulhouse,356 B 60 coupé T5,Stanislas Machoïr,48 000 €,REST,V,,5689,
PORSCHE,12/12/2010,Fontainebleau,356 B S 75 coupé T 5,Jean-Pierre Osenat,25 000 €,REST,V,,5689,
PORSCHE,13/03/2010,Stoneleigh Park,356 B S 75 coupé T 5 RHD,H & H Classic Auctions,20 350 €,REST,V,,5689,
,,,,,,,,,8017,
PORSCHE,18/05/2019,Brooklands,356 B (60 ch) cabriolet T 6 LHD,Historics at Brooklands,91 040 €,REST,V,,8017,
PORSCHE,11/05/2018,Monaco,356 B (60) cabriolet T 6,Bonhams,138 000 €,REST,V,,8017,
PORSCHE,30/04/2010,Monaco,"356 B ""60"" cabriolet T 6",Coys,52 000 €,REST+,V,,8017,
PORSCHE,30/04/2006,Castle Donington,"356 B ""60"" cabriolet T 6 RHD",Coys Auctions,29 250 €,OR,V,,8017,
,,,,,,,,,5688,
PORSCHE,19/01/2018,Scottsdale,356 B (60) cabriolet T 5,Gooding & Co,116 970 €,REST,V,,5688,
PORSCHE,18/08/2017,Pebble Beach,356 B (60 ch) cabriolet T 5,Gooding & Co,173 040 €,REST,V,,5688,
PORSCHE,10/10/2014,Knokke le Zoute,356 B T5 1600 Super cabriolet,Bonhams,124 200 €,REST,V,,5688,
PORSCHE,10/10/2014,Knokke le Zoute,356 B T5 1600 Super cabriolet,Bonhams,172 500 €,REST+,V,,5688,
,,,,,,,,,8016,
PORSCHE,03/12/2018,Londres,356 B (60) coupé T 6 LHD,Bonhams,90 300 €,REST,V,,8016,
PORSCHE,22/09/2018,Brooklands,"356 B coupé T 6, moteur S 90",Historics at Brooklands,77 210 €,REST,V,,8016,
PORSCHE,19/05/2018,Brooklands,356 B (60) coupé T 6,Historics at Brooklands,65 140 €,REST,V,,8016,
PORSCHE,07/12/2016,Londres,356 B 60 coupé T 6,Bonhams,87 300 €,REST,V,,8016,
PORSCHE,08/06/2008,Greenwich,"356 B ""60"" coupé T 6",Bonhams & Butterfields,21 000 €,OR+,V,,8016,
PORSCHE,17/05/2009,Montastruc-la-Conseillère,"356 B ""60"" coupé T 6",SVV Machoïr,33 000 €,REST+,V,,8016,
,,,,,,,,,5687,
PORSCHE,17/01/2019,Scottsdale,356 B (60 ch) coupé T 5 toit ouvrant,Bonhams,78 580 €,REST,V,,5687,
PORSCHE,27/10/2018,Atlanta,356 B (60) coupé Reutter toit ouvrant,RM Sotheby's,101 310 €,OR+,V,,5687,
PORSCHE,08/02/2018,Paris,356 B (60) coupé T 5,Bonhams,79 350 €,REST,V,,5687,
PORSCHE,19/01/2018,Scottsdale,356 B (60) coupé T 5,Gooding & Co,76 480 €,REST,V,,5687,
PORSCHE,20/01/2017,Scottsdale,"356 B coupé, moteur 1750",Gooding & Co.,85 360 €,REST/TR,V,,5687,
PORSCHE,19/01/2017,Scottsdale,356 B coupé préparé 80 ch,Bonhams,98 290 €,REST/TR,V,,5687,
